timestamp,scheduler_type,num_requests,num_gpus,use_real_timestamps,rps_scaling,d_sla,k_bins,sla_violation_rate,capacity_qps_under_sla,throughput_requests_per_sec,throughput_tokens_per_sec,avg_latency,p50_latency,p95_latency,p99_latency,max_latency,avg_queueing_delay,avg_service_time,avg_gpu_utilization,min_gpu_utilization,max_gpu_utilization,num_batches,avg_batch_size,min_batch_size,max_batch_size,total_time,total_tokens,num_completed,execution_time_seconds,status,error
11/24/25 18:38,multi_bin_dynamic,1000,1,False,200.0,1.0,4.0,0.61,1.51,3.89,3045.65,4.18,1.32,24.58,30.69,32.2,3.74,0.44,0.52,0.52,0.52,331.0,3.021148,1.0,16.0,257.107728,783060.0,1000.0,0.024627,success,
11/24/25 18:38,multi_bin_dynamic,1000,2,False,200.0,1.0,4.0,0.23,3.13,4.05,3168.59,1.4,0.55,8.63,11.87,13.38,1.06,0.35,0.38,0.38,0.38,584.0,1.712329,1.0,9.0,247.13236,783060.0,1000.0,0.03526,success,
11/24/25 18:38,multi_bin_dynamic,1000,4,False,200.0,1.0,4.0,0.03,3.92,4.05,3171.42,0.33,0.25,0.9,1.27,1.51,0.04,0.28,0.23,0.21,0.26,884.0,1.131222,1.0,6.0,246.9117,783060.0,1000.0,0.039217,success,
11/24/25 18:38,multi_bin_dynamic,10000,1,False,200.0,1.0,4.0,0.68,1.98,6.23,5361.77,30.77,1.44,156.91,190.57,214.91,30.3,0.47,0.86,0.86,0.86,3057.0,3.271181,1.0,31.0,1603.917731,8599832.0,10000.0,0.2272919999999999,success,
11/24/25 18:38,multi_bin_dynamic,10000,2,False,200.0,1.0,4.0,0.31,4.33,6.29,5408.29,5.47,0.66,33.92,49.31,52.99,5.08,0.39,0.6,0.6,0.6,5283.0,1.892864,1.0,18.0,1590.1199,8599832.0,10000.0,0.253778,success,
11/24/25 18:38,multi_bin_dynamic,10000,4,False,200.0,1.0,4.0,0.04,6.01,6.29,5408.8,0.38,0.3,0.97,1.57,3.05,0.07,0.31,0.38,0.37,0.39,8347.0,1.198035,1.0,9.0,1589.9692,8599832.0,10000.0,0.190369,success,
11/24/25 18:38,multi_bin_dynamic,100000,1,False,200.0,1.0,4.0,0.91,0.82,8.86,5512.77,611.28,198.67,4627.86,6470.16,7049.55,610.98,0.31,0.97,0.97,0.97,15887.0,6.294455,1.0,127.0,11283.069977,62200998.0,100000.0,2.399947,success,
11/24/25 18:38,multi_bin_dynamic,100000,2,False,200.0,1.0,4.0,0.8,2.69,13.57,8442.39,260.76,104.35,1938.59,2852.98,3134.16,260.47,0.29,0.81,0.81,0.81,21251.0,4.705661,1.0,127.0,7367.696031,62200998.0,100000.0,2.369988,success,
11/24/25 18:38,multi_bin_dynamic,100000,4,False,200.0,1.0,4.0,0.61,6.73,17.4,10824.74,105.53,9.99,933.93,1380.87,1512.65,105.27,0.27,0.59,0.58,0.59,29938.0,3.340236,1.0,127.0,5746.186455,62200998.0,100000.0,2.131507,success,
11/24/25 18:40,multi_bin_dynamic,1000000,1,False,200.0,1.0,4.0,0.97,0.2,7.06,5808.14,26824.65,929.84,115012.73,120660.24,123042.13,26824.23,0.42,1.0,1.0,1.0,231116.0,4.326832,1.0,127.0,141595.216243,822404842.0,1000000.0,35.108129,success,
11/24/25 18:42,multi_bin_dynamic,1000000,2,False,200.0,1.0,4.0,0.86,1.93,13.61,11193.53,12239.14,491.85,53816.73,54782.72,55099.89,12238.73,0.41,0.98,0.98,0.98,246398.0,4.058475,1.0,127.0,73471.453283,822404842.0,1000000.0,35.679059,success,
11/24/25 18:42,multi_bin_dynamic,1000000,4,False,200.0,1.0,4.0,0.77,5.92,25.32,20820.84,5130.87,168.88,21388.25,23237.33,24028.99,5130.47,0.4,0.94,0.94,0.94,270583.0,3.695724,1.0,127.0,39499.11456,822404842.0,1000000.0,35.785636,success,
